Brown Mold      : 0.5 ==> White Mildew!1@M && Brown Mold!<2@Any
Crumbspore      : 0.07 ==> Crumbspore!!1@M
Crumbspore      : 0.005 ==> Doughshroom!2@False
Doughshroom     : 0.005 ==> Crumbspore!2@False
Doughshroom     : 0.07 ==> Doughshroom!!1@M
Glovemorel      : 0.01 ==> Crumbspore!1@M && Thumbcorn!1@M
Cheapcap        : 0.03 ==> Crumbspore!1@M && Shimmerlily!1@M
Fool Bolete     : 0.02 ==> Doughshroom!1@M && Green Rot!1@M
Wrinklegill     : 0.06 ==> Crumbspore!1@M && Brown Mold!1@M
Green Rot       : 0.05 ==> White Mildew!1@M && Clover!1@M
Ichorpuff       : 0.002 ==> Elderwort!1@M && Crumbspore!1@M
<---------------------------- PLANT HISTORY ----------------------------->
Baker's Wheat
Thumbcorn
Cronerice
Gildmillet
Clover
Shimmerlily
Chocoroot
White Chocoroot
White Mildew
Brown Mold
Meddleweed
Whiskerbloom
Chimerose
Nursetulip
Keenmoss
Crumbspore
Doughshroom
Wrinklegill
Green Rot
Elderwort
Drowsyfern




